timestamp,open,high,low,close,volume
2023-06-02,204.0900,215.2400,200.9100,213.3200,22034943
2023-05-26,205.5100,207.4891,196.6000,203.6300,19206567
2023-05-19,200.0100,208.5800,198.6500,205.4900,20743693
2023-05-12,199.1600,204.6100,196.4000,200.7000,24422417
2023-05-05,206.2500,208.5200,193.2700,198.3400,23091929
2023-04-28,204.8700,211.7000,201.1200,206.7800,25684859
2023-04-21,202.0000,210.8700,200.8000,205.1500,25245743
2023-04-14,211.0000,214.5000,198.1541,201.7100,37175286
2023-04-06,212.8000,218.5700,208.2200,211.3700,22034740
2023-03-31,198.6300,214.8000,198.6300,212.4300,24655392
2023-03-24,201.1200,207.8600,193.9202,197.5300,27529285
2023-03-17,200.2000,213.5599,192.4100,201.0500,42422133
2023-03-10,214.1200,214.7500,197.7900,203.0700,26862147
2023-03-03,199.8700,216.1200,199.0600,215.1100,25261952
2023-02-24,208.9900,210.8400,197.3600,198.1500,21381795
2023-02-17,213.6000,221.3300,207.6196,211.6600,29452539
2023-02-10,205.1900,215.7700,203.6900,212.8900,25325823
2023-02-03,209.1900,218.9700,205.6180,206.0100,31605475
2023-01-27,208.3600,214.7500,203.1100,211.1700,38868267
2023-01-20,212.7100,213.4245,204.7800,206.7600,22842674
2023-01-13,212.3600,216.6400,203.4608,214.1300,38800848
2023-01-06,192.9500,213.0400,192.4000,213.0000,36541217
2022-12-30,189.5800,192.4400,186.1900,190.4900,17967462
2022-12-23,184.9200,196.4000,184.7100,189.0600,32849706
2022-12-16,180.8000,191.1100,180.5000,184.7000,38143092
2022-12-09,182.0000,188.4499,174.6200,179.5400,37631052
2022-12-02,176.1700,183.4500,171.7000,182.8700,32296809
2022-11-25,172.5300,178.4600,171.0000,178.3600,14872912
2022-11-18,176.5000,178.1900,168.5200,173.8900,26819824
2022-11-11,161.4000,179.3200,160.6300,177.4900,51657864
2022-11-04,141.8800,160.9800,139.5200,160.0100,57821496
2022-10-28,142.8500,150.1400,132.2050,143.8400,62847248
2022-10-21,136.9800,141.8800,133.2601,141.3200,31324730
2022-10-14,131.4200,136.4100,124.1700,133.1500,35673195
2022-10-07,122.0000,133.5700,121.0200,129.7900,31018503
2022-09-30,129.7700,133.8900,120.9900,121.0800,41323103
2022-09-23,142.6200,149.8700,129.5000,131.2600,33317004
